#{"t_start": 1770597841.356516, "env_id": "AdroitHandRelocate-v1"}
r,l,t,success,lifted,dist_to_target
-202.3,100,1267.442036,False,False,1.4138024130756084
32.9,100,1269.838752,False,False,0.21783606187610358
15.124834,100,1272.227582,False,False,0.8331466586962022
61.414437,100,1274.737751,False,False,1.2769036246068344
161.872225,100,1277.242701,False,False,0.44770739641532337
154.564546,37,1278.115288,True,True,0.08905050823376917
159.700522,100,1280.511914,False,False,1.6059205834684123
82.195977,100,1282.777799,False,False,0.15678678354159836
66.250181,100,1285.034887,False,False,0.4001093514960476
-51.113585,100,1287.565166,False,False,1.8621254102642084
55.620285,100,1289.795211,False,False,2.151355706933692
-192.3,100,1292.798159,False,False,2.172712329462455
-135.371748,100,1295.094621,False,False,2.0785558588214865
-96.195308,100,1298.430035,False,False,1.8132808932359123
138.838532,100,1300.3737,False,False,1.6718674409783523
216.528158,100,1302.403206,False,False,0.5887886766831328
98.997244,100,1304.44155,False,False,0.3471723824451493
14.668323,100,1306.579164,False,False,1.476372814562511
-42.425166,100,1308.86324,False,False,1.6919897156551797
26.5,100,1311.815303,False,False,0.1221826968056907
25.3,100,1314.916349,False,False,0.1922003995534631
132.165445,100,1317.635511,False,False,0.47423285112415
21.5,100,1320.366497,False,False,0.431925728581826
17.2,100,1323.060637,False,False,0.27364937092711095
-119.725056,100,1325.444919,False,False,1.6367778764259737
28.7,100,1327.573782,False,False,0.23740823582030998
56.1,19,1328.02614,True,False,0.09861590550834433
82.362643,21,1328.589082,True,True,0.09958750725838716
29.4,100,1331.14498,False,False,0.15936963337928162
87.506039,100,1333.240739,False,False,0.3465887080677474
119.911781,100,1335.527066,False,False,0.5393698941267877
28.0,100,1337.889553,False,False,0.3701804556893569
31.8,100,1340.232921,False,False,0.25378076600353827
32.6,100,1342.382782,False,False,0.20857681013225304
23.8,100,1344.473685,False,False,0.3877241774682206
150.747692,100,1348.540141,False,False,0.3762929315970595
21.6,100,1350.553563,False,False,0.3681230474662865
26.2,100,1352.478884,False,False,0.32423928820861897
30.6,100,1354.75843,False,False,0.14505921516628817
-4.289298,100,1356.810935,False,False,0.6409859820272782
147.972971,100,1358.693674,False,False,0.35979842644903826
32.4,100,1360.920562,False,False,0.1916809945232446
22.4,100,1363.149008,False,False,0.15348974845188146
33.1,100,1365.705157,False,False,0.199307789907604
31.5,100,1368.54145,False,False,0.1272402398599553
95.675567,23,1369.103207,True,True,0.08253784267981931
94.843095,25,1369.653873,True,True,0.09087981919930042
32.3,100,1372.04567,False,False,0.14796741924527887
40.0,100,1374.350034,False,False,0.24292732250688773
38.8,100,1376.426584,False,False,0.17329530799499077
74.492329,100,1378.576486,False,False,0.28866245489277803
32.7,100,1380.603724,False,False,0.13030046452100147
30.6,100,1382.824382,False,False,0.14837557184124314
30.0,100,1385.071318,False,False,0.2920495491124427
40.3,100,1387.200721,False,False,0.3001557057595016
45.0,100,1389.299775,False,False,0.15251917691637984
92.675542,100,1392.062457,False,False,2.7285888291401332
44.5,100,1394.159755,False,False,0.3774196176854569
81.8,85,1395.79045,True,False,0.09987312341579363
28.2,100,1398.705838,False,False,0.1902063955316514
43.5,100,1401.265992,False,False,0.163573975149709
0.538264,100,1403.842597,False,False,1.6152907037160735
45.5,100,1406.319749,False,False,0.3862161217625679
48.6,100,1408.799957,False,False,0.1858050064289368
33.1,100,1411.297572,False,False,0.38482039484259056
30.0,100,1413.610847,False,False,0.48769542375588226
34.8,100,1416.37392,False,False,0.37183229487986286
34.3,100,1418.602275,False,False,0.48065668415134355
33.1,100,1420.480798,False,False,0.25049672771835907
-292.0,100,1422.375795,False,False,2.097764753644634
28.8,100,1424.089149,False,False,0.3612752720362402
-168.7,100,1425.81215,False,False,1.2563899560892156
-217.5,100,1427.582798,False,False,1.7028034663471974
