#{"t_start": 1770594585.9085808, "env_id": "AdroitHandRelocate-v1"}
r,l,t
46.1,100,571.145143
36.8,100,572.099366
48.3,100,572.955222
44.5,100,573.88563
48.0,100,574.873625
49.0,100,575.71533
48.6,100,576.626752
47.6,100,577.484965
47.9,100,578.297691
48.1,100,579.172934
49.0,100,580.087177
48.8,100,581.022851
49.0,100,582.019196
48.2,100,582.965857
47.9,100,583.917134
48.7,100,584.755204
49.0,100,586.01418
48.3,100,586.970549
34.5,100,587.898647
42.4,100,588.873847
45.0,100,589.794359
46.9,100,590.712644
42.6,100,591.685527
46.2,100,592.614164
41.5,100,593.557939
41.9,100,594.57285
44.8,100,595.504172
27.3,100,596.47151
44.8,100,597.435977
-157.9,100,598.351154
44.1,100,599.306352
48.1,100,600.218936
45.1,100,601.114068
37.0,100,602.030982
48.3,100,602.951915
-50.1,100,603.869367
48.1,100,605.182384
46.5,100,606.073454
47.9,100,607.021448
43.9,100,607.904617
45.8,100,608.86645
43.0,100,609.817865
26.2,100,610.630998
43.4,100,611.490043
47.7,100,612.415644
48.0,100,613.283063
42.9,100,614.200298
44.5,100,615.087873
28.7,100,615.948007
45.4,100,616.85829
40.0,100,617.681018
29.9,100,618.735703
-17.0,100,619.93688
47.9,100,621.089102
48.3,100,622.290294
47.0,100,623.219982
34.2,100,624.697163
35.0,100,625.557587
32.2,100,626.448866
46.3,100,627.360022
33.5,100,628.207753
28.7,100,629.093957
33.0,100,630.223791
47.0,100,631.369129
47.8,100,632.621799
31.0,100,633.747803
47.4,100,634.714638
39.7,100,636.167593
44.9,100,637.057315
31.6,100,637.92615
46.3,100,638.75607
47.6,100,639.687331
21.6,100,640.624454
33.2,100,641.55797
48.6,100,642.497225
48.1,100,643.386477
33.6,100,644.622866
48.0,100,645.531351
45.6,100,646.405088
48.0,100,647.387299
48.5,100,648.228117
39.4,100,649.116159
48.5,100,650.016767
47.9,100,650.894965
-336.7,100,651.803368
-178.9,100,652.741196
35.1,100,653.647954
